continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,health_expenditure,private_health_percent,medical_doctors_per10k,nursing_midwifery_per10k,TOTAL_VACCINATIONS_PER100,PERSONS_FULLY_VACCINATED_PER100,cumulative_estimated_daily_excess_deaths
Asia,Maldives,179171.0,298.0,329588.683,548.177,,543620.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,,78.92,0.74,854.4,19.05,20.53,46.61,174.097,71.026,905.099955128885
Africa,Mali,30850.0,732.0,1479.21,35.098,,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,0.1,59.31,0.434,34.28,32.9,1.29,4.41,9.846,5.252,38206.0193665395
Europe,Malta,91975.0,700.0,178211.587,1356.326,,516100.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,4.485,82.53,0.895,2532.0,36.88,28.6,94.83,234.5,86.182,605.511680258255
Africa,Mauritania,58694.0,982.0,12291.654,205.65,,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,,64.92,0.546,57.88,50.65,1.87,9.25,57.011,22.973,9907.97995166915
Africa,Mauritius,221749.0,992.0,174135.483,779.0,,1273428.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,3.4,74.99,0.804,686.0,52.67,27.13,39.35,212.155,75.757,1810.02531365434
North America,Mexico,5740080.0,324350.0,44065.578,2489.978,,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,540.4,50.69,24.25,28.24,153.965,62.007,725222.503595004
Europe,Monaco,11801.0,57.0,298608.3,1442.308,,39520.0,19347.5,,,,,,,5.46,,,13.8,86.75,,2906.0,15.04,75.07,201.6,166.0,65.404,186.827508088732
Asia,Mongolia,920781.0,2179.0,276570.444,654.495,,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,7.0,69.87,0.737,163.4,38.25,38.52,42.14,170.997,66.354,1089.79257282459
Europe,Montenegro,235338.0,2715.0,374711.608,4322.897,,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,3.861,76.88,0.829,735.2,39.16,27.4,53.72,84.2,40.59,4265.50850079333
Africa,Morocco,1164984.0,16069.0,31195.358,430.288,,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,1.1,76.68,0.686,174.2,59.41,7.31,13.89,147.458,63.343,75245.0186678778
Africa,Mozambique,225387.0,2201.0,7007.639,68.433,,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,0.7,60.85,0.456,39.46,16.0,0.85,4.85,101.154,44.444,61926.9542069422
